,do,>,while,==,>=,-,{,||,if,break,!,&&,],id,else,false,/,=,real,*,+,true,!=,<=,basic,(,},;,num,[,<,),$
rel,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,25,-1,-1,25,-1,25,-1,-1,25,-1,-1,25,-1,-1,-1,25,-1,-1,25,-1,-1,-1,-1
decls’,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1
stmts’,8,-1,8,-1,-1,-1,8,-1,8,8,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
term’,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decl,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
decls,2,-1,2,-1,-1,2,2,-1,2,2,2,-1,-1,2,2,2,-1,-1,2,-1,-1,2,-1,-1,2,2,2,2,2,-1,-1,2,2
bool,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,18,-1,-1,18,-1,18,-1,-1,18,-1,-1,18,-1,-1,-1,18,-1,-1,18,-1,-1,-1,-1
join,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,20,-1,-1,20,-1,20,-1,-1,20,-1,-1,20,-1,-1,-1,20,-1,-1,20,-1,-1,-1,-1
stmts,7,-1,7,-1,-1,7,7,-1,7,7,7,-1,-1,7,7,7,-1,-1,7,-1,-1,7,-1,-1,-1,7,7,7,7,-1,-1,7,7
join’,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
B,-1,29,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,26,-1,-1
loc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
term,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,33,-1,-1,33,-1,33,-1,-1,33,-1,-1,33,-1,-1,-1,33,-1,-1,33,-1,-1,-1,-1
factor,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,44,-1,-1,42,-1,-1,43,-1,-1,-1,39,-1,-1,41,-1,-1,-1,-1
stmt,12,-1,11,-1,-1,-1,14,-1,10,13,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
program,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
block,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bool’,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expr,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,30,-1,-1,30,-1,30,-1,-1,30,-1,-1,30,-1,-1,-1,30,-1,-1,30,-1,-1,-1,-1
unary,-1,-1,-1,-1,-1,37,-1,-1,-1,-1,36,-1,-1,38,-1,38,-1,-1,38,-1,-1,38,-1,-1,-1,38,-1,-1,38,-1,-1,-1,-1
loc’,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1
type’,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1
type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
equality,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,22,-1,-1,22,-1,22,-1,-1,22,-1,-1,22,-1,-1,-1,22,-1,-1,22,-1,-1,-1,-1
equality’,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expr’,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
