,;,&&,num,),/,if,=,-,do,*,else,||,>,[,+,id,<=,!=,},while,flase,<,(,true,==,>=,break,{,false,!,real,basic,$
program, , , , , , , , , , , , , , , , , , , , , , , , , , , ,block , , , , , 
block, , , , , , , , , , , , , , , , , , , , , , , , , , , ,{ decls stmts } , , , , , 
decls, , , , , ,decls' , , ,decls' , , , , , , ,decls' , , , ,decls' , , , , , , ,decls' ,decls' , , , ,decls' , 
decls', , , , , ,¦Å , , ,¦Å , , , , , , ,¦Å , , , ,¦Å , , , , , , ,¦Å ,¦Å , , , ,decl decls' , 
decl, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type id; , 
type, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,basic type' , 
type', , , , , , , , , , , , , ,[ num ] type' , ,¦Å , , , , , , , , , , , , , , , , , 
stmts, , , , , ,stmts' , , ,stmts' , , , , , , ,stmts' , , ,stmts' ,stmts' , , , , , , ,stmts' ,stmts' , , , , , 
stmts', , , , , ,stmt stmts' , , ,stmt stmts' , , , , , , ,stmt stmts' , , ,¦Å ,stmt stmts' , , , , , , ,stmt stmts' ,stmt stmts' , , , , , 
stmt, , , , , ,if ( bool ) stmt A , , ,do stmt while ( bool ) ; , , , , , , ,loc = bool ; , , , ,while ( bool ) stmt , , , , , , ,break ; ,block , , , , , 
A, , , , , ,¦Å , , ,¦Å , ,¦Å , , , , ,¦Å , , ,¦Å ,¦Å , , , , , , ,¦Å ,¦Å , , , , , 
loc, , , , , , , , , , , , , , , ,id loc' , , , , , , , , , , , , , , , , , 
loc',¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,[ num ] loc' ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , , 
bool, , ,join bool' , , , , ,join bool' , , , , , , , ,join bool' , , , , , , ,join bool' ,join bool' , , , , ,join bool' ,join bool' ,join bool' , , 
bool',¦Å , , ,¦Å , ,¦Å , , ,¦Å , ,¦Å ,|| join bool' , , , ,¦Å , , ,¦Å ,¦Å , , , , , , ,¦Å ,¦Å , , , , , 
join, , ,equality join' , , , , ,equality join' , , , , , , , ,equality join' , , , , , , ,equality join' ,equality join' , , , , ,equality join' ,equality join' ,equality join' , , 
join',¦Å ,&& equality join' , ,¦Å , ,¦Å , , ,¦Å , ,¦Å ,¦Å , , , ,¦Å , , ,¦Å ,¦Å , , , , , , ,¦Å ,¦Å , , , , , 
equality, , ,rel equality' , , , , ,rel equality' , , , , , , , ,rel equality' , , , , , , ,rel equality' ,rel equality' , , , , ,rel equality' ,rel equality' ,rel equality' , , 
equality',¦Å ,¦Å , ,¦Å , ,¦Å , , ,¦Å , ,¦Å ,¦Å , , , ,¦Å , ,!= rel equality' ,¦Å ,¦Å , , , , ,== rel equality' , ,¦Å ,¦Å , , , , , 
rel, , ,expr B , , , , ,expr B , , , , , , , ,expr B , , , , , , ,expr B ,expr B , , , , ,expr B ,expr B ,expr B , , 
B, , ,expr , , , , ,expr , , , , ,> expr , , ,expr ,<= expr , , , , ,< expr ,expr ,expr , ,>= expr , , ,expr ,expr ,expr , , 
expr, , ,term expr' , , , , ,term expr' , , , , , , , ,term expr' , , , , ,term expr' , ,term expr' ,term expr' , , , , , ,term expr' ,term expr' , , 
expr',¦Å ,¦Å ,¦Å ,¦Å , ,¦Å , ,¦Å ,¦Å , ,¦Å ,¦Å ,¦Å , ,+ term expr' ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , , 
term, , ,unary term' , , , , ,unary term' , , , , , , , ,unary term' , , , , , , ,unary term' ,unary term' , , , , ,unary term' ,unary term' ,unary term' , , 
term',¦Å ,¦Å ,¦Å ,¦Å ,/ unary term' ,¦Å ,¦Å ,¦Å ,¦Å ,* unary term' ,¦Å ,¦Å ,¦Å , ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å ,¦Å , , 
unary, , ,factor , , , , ,- unary , , , , , , , ,factor , , , , , , ,factor ,factor , , , , ,factor ,!unary ,factor , , 
factor, , ,num , , , , , , , , , , , , ,loc , , , , , , ,( bool ) ,true , , , , ,false , ,real , , 
